,Unnamed: 0,method_str,masked_method,method_name,prediction,prediction_scores,prediction_weighted_score,c2v_pred,c2v_prediction_scores,c2v_prediction_weighted_score
482,482,"public void dispose() {stage.dispose();texture.dispose();batch.dispose();font.dispose();}protected void reset(long cPtr, boolean cMemoryOwn) {if (!destroyed)destroy();super.reset(CollisionJNI.btPolyhedralConvexShape_SWIGUpcast(swigCPtr = cPtr), cMemoryOwn);}
","public void [MASK]() {stage.[MASK]();texture.[MASK]();batch.[MASK]();font.[MASK]();}protected void reset(long cPtr, boolean cMemoryOwn) {if (!destroyed)destroy();super.reset(CollisionJNI.btPolyhedralConvexShape_SWIGUpcast(swigCPtr = cPtr), cMemoryOwn);}
",dispose,"[{'value': ['destroy'], 'probability': 0.15227456390857697}, {'value': ['run'], 'probability': 0.11819478869438171}, {'value': ['clear'], 'probability': 0.062158599495887756}, {'value': ['execute'], 'probability': 0.0559346005320549}, {'value': ['finish'], 'probability': 0.055756717920303345}]","[0.5099461, 0.13288948, 0.20622805, 0.36579466, 0.15473744]",0.1352657418003962,"[{'value': ['dispose'], 'probability': 0.8859248757362366}, {'value': ['close'], 'probability': 0.030824271962046623}, {'value': ['stop'], 'probability': 0.02690931223332882}, {'value': ['destroy'], 'probability': 0.024756615981459618}, {'value': ['delete'], 'probability': 0.006753645371645689}, {'value': ['shutdown'], 'probability': 0.006016792729496956}, {'value': ['cancel'], 'probability': 0.005593525245785713}, {'value': ['finalize'], 'probability': 0.005288207437843084}, {'value': ['hide'], 'probability': 0.004415517672896385}, {'value': ['run'], 'probability': 0.003517280565574765}]","[0.99999994, 0.17637412, 0.22849083, 0.5099461, 0.3089048, 0.10550895, 0.31668118, 0.33868343, 0.4591369, 0.13288948]",0.9189126853250098
483,483,"public static long getCPtr(btPolyhedralConvexShape obj) {return (obj == null) ? 0 : obj.swigCPtr;}
","public static long [MASK](btPolyhedralConvexShape obj) {return (obj == null) ? 0 : obj.swigCPtr;}
",getCPtr,"[{'value': ['get'], 'probability': 0.07508603483438492}, {'value': ['skip'], 'probability': 0.041004929691553116}, {'value': ['update'], 'probability': 0.040325380861759186}, {'value': ['match'], 'probability': 0.03532800078392029}, {'value': ['evaluate'], 'probability': 0.03479253128170967}]","[1.0, 0.49507433, 0.36048478, 0.4692583, 0.40115592]",0.1404583967459168,"[{'value': ['get', 'c', 'ptr'], 'probability': 1.0}, {'value': ['size'], 'probability': 1.054314235915399e-08}, {'value': ['get', 'flags'], 'probability': 8.130188966504193e-09}, {'value': ['get', 'type'], 'probability': 4.1625649593868275e-09}, {'value': ['get', 'id'], 'probability': 2.1514112713560962e-09}, {'value': ['get', 'base'], 'probability': 1.9387691452266154e-09}, {'value': ['get', 'first'], 'probability': 1.7844875577210928e-09}, {'value': ['height'], 'probability': 6.839201427411012e-10}, {'value': ['get', 'count'], 'probability': 3.1865962646371315e-10}, {'value': ['get', 'top'], 'probability': 3.1842023462402835e-10}]","[0.67619735, 0.43109724, 0.75727946, 0.8542828, 0.82231325, 0.8330182, 0.8991456, 0.30686238, 0.85928994, 0.8810721]",0.676197370010872
484,484,"protected void finalize() {if (!destroyed)destroy();super.finalize();}
","protected void [MASK]() {if (!destroyed)destroy();super.[MASK]();}
",finalize,"[{'value': ['destroy'], 'probability': 0.9733927249908447}, {'value': ['destroyed'], 'probability': 0.009544972330331802}, {'value': ['rebuild'], 'probability': 0.006175817456096411}, {'value': ['run'], 'probability': 0.0022894893772900105}, {'value': ['build'], 'probability': 0.0005107757169753313}]","[0.1432974, -0.044560697, 0.28834844, 0.09746272, 0.31560788]",0.1412244520043508,"[{'value': ['finalize'], 'probability': 0.9999464750289917}, {'value': ['dispose'], 'probability': 4.112516398890875e-05}, {'value': ['free', 'mem'], 'probability': 7.3835099101415835e-06}, {'value': ['on', 'destroy'], 'probability': 2.8894064598716795e-06}, {'value': ['is', 'handled'], 'probability': 8.069619070738554e-07}, {'value': ['remove', 'notify'], 'probability': 6.561280088135391e-07}, {'value': ['do', 'finalize'], 'probability': 1.9771378845234722e-07}, {'value': ['test', 'finalize'], 'probability': 1.6581098805090733e-07}, {'value': ['release'], 'probability': 1.544726728752721e-07}, {'value': ['tear', 'down'], 'probability': 8.362584225096725e-08}]","[1.0, 0.33868343, 0.14763913, 0.25811264, 0.09339231, 0.37095228, 0.704253, 0.67354965, 0.29516438, 0.11604035]",0.9999628643053813
485,485,"protected synchronized void delete() {if (swigCPtr != 0) {if (swigCMemOwn) {swigCMemOwn = false;CollisionJNI.delete_btPolyhedralConvexShape(swigCPtr);}swigCPtr = 0;}super.delete();}
","protected synchronized void [MASK]() {if (swigCPtr != 0) {if (swigCMemOwn) {swigCMemOwn = false;CollisionJNI.[MASK]_btPolyhedralConvexShape(swigCPtr);}swigCPtr = 0;}super.[MASK]();}
",delete,"[{'value': ['run'], 'probability': 0.8184168934822083}, {'value': ['start'], 'probability': 0.01471899077296257}, {'value': ['clear'], 'probability': 0.012081997469067574}, {'value': ['test'], 'probability': 0.010190948843955994}, {'value': ['execute'], 'probability': 0.008487599901854992}]","[0.13931048, 0.15163165, 0.18840031, 0.14537679, 0.33713183]",0.1228651340669889,"[{'value': ['delete'], 'probability': 1.0}, {'value': ['do', 'delete'], 'probability': 2.7106727973347233e-10}, {'value': ['delete', 'file'], 'probability': 9.954600338479835e-11}, {'value': ['remove'], 'probability': 7.5760224482746e-11}, {'value': ['move'], 'probability': 5.980566042396163e-11}, {'value': ['test', 'delete'], 'probability': 5.413420059441343e-11}, {'value': ['delete', 'by', 'id'], 'probability': 2.8741738156146113e-11}, {'value': ['abort'], 'probability': 1.7666821131023802e-11}, {'value': ['delete', 'row'], 'probability': 9.944252886417981e-12}, {'value': ['clear'], 'probability': 5.664530042942539e-12}]","[1.0, 0.7730317, 0.8637192, 0.5385779, 0.24743508, 0.7130186, 0.68815297, 0.26680696, 0.76140904, 0.18840031]",1.0000000004228538
486,486,"public boolean initializePolyhedralFeatures(int shiftVerticesByMargin) {return CollisionJNI.btPolyhedralConvexShape_initializePolyhedralFeatures__SWIG_0(swigCPtr, this, shiftVerticesByMargin);}
","public boolean [MASK](int shiftVerticesByMargin) {return CollisionJNI.btPolyhedralConvexShape_[MASK]__SWIG_0(swigCPtr, this, shiftVerticesByMargin);}
",initializePolyhedralFeatures,"[{'value': ['matches'], 'probability': 0.17285144329071045}, {'value': ['equals'], 'probability': 0.09998475760221481}, {'value': ['accepts'], 'probability': 0.04307502135634422}, {'value': ['execute'], 'probability': 0.03857668489217758}, {'value': ['supports'], 'probability': 0.03577057644724846}]","[-0.18260892, 0.03311419, 0.032493275, 0.21664008, -0.044485707]",-0.0200876751318159,"[{'value': ['is'], 'probability': 0.29459646344184875}, {'value': ['prob'], 'probability': 0.2470763623714447}, {'value': ['next', 'to'], 'probability': 0.20752766728401184}, {'value': ['parse'], 'probability': 0.062324777245521545}, {'value': ['has', 'state'], 'probability': 0.05000472813844681}, {'value': ['attach'], 'probability': 0.041303325444459915}, {'value': ['stop', 'capture'], 'probability': 0.025875026360154152}, {'value': ['is', 'visited'], 'probability': 0.025774037465453148}, {'value': ['height'], 'probability': 0.022759756073355675}, {'value': ['contains'], 'probability': 0.022757964208722115}]","[-0.2760725, 0.28716373, -0.14311756, 0.4540484, -0.3927431, 0.28781444, -0.07023217, -0.35815114, -0.110979296, -0.086116314]",-0.03506627263513146
487,487,"public boolean initializePolyhedralFeatures() {return CollisionJNI.btPolyhedralConvexShape_initializePolyhedralFeatures__SWIG_1(swigCPtr, this);}
","public boolean [MASK]() {return CollisionJNI.btPolyhedralConvexShape_[MASK]__SWIG_1(swigCPtr, this);}
",initializePolyhedralFeatures,"[{'value': ['execute'], 'probability': 0.06806939840316772}, {'value': ['run'], 'probability': 0.058860745280981064}, {'value': ['matches'], 'probability': 0.05306257680058479}, {'value': ['is'], 'probability': 0.048198193311691284}, {'value': ['exists'], 'probability': 0.03620610386133194}]","[0.21664008, -0.23605645, -0.18260892, -0.2760725, 0.03870856]",-0.0207423075236458,"[{'value': ['is', 'custom'], 'probability': 0.2796882390975952}, {'value': ['last'], 'probability': 0.1613699048757553}, {'value': ['empty'], 'probability': 0.1481449007987976}, {'value': ['next'], 'probability': 0.08946648240089417}, {'value': ['is', 'bit'], 'probability': 0.07267817854881287}, {'value': ['is', 'empty'], 'probability': 0.06355725973844528}, {'value': ['next', 'data'], 'probability': 0.052653901278972626}, {'value': ['next', 'to'], 'probability': 0.05181558430194855}, {'value': ['first'], 'probability': 0.044913653284311295}, {'value': ['is', 'union'], 'probability': 0.035711873322725296}]","[-0.16584268, -0.4328135, -0.15470208, -0.24877988, -0.26609814, -0.26642123, -0.11779491, -0.14311756, -0.28627223, -0.3018074]",-0.23492935783380836
488,488,"public btConvexPolyhedron getConvexPolyhedron() {long cPtr = CollisionJNI.btPolyhedralConvexShape_getConvexPolyhedron(swigCPtr, this);return (cPtr == 0) ? null : new btConvexPolyhedron(cPtr, false);}
","public btConvexPolyhedron [MASK]() {long cPtr = CollisionJNI.btPolyhedralConvexShape_[MASK](swigCPtr, this);return (cPtr == 0) ? null : new btConvexPolyhedron(cPtr, false);}
",getConvexPolyhedron,"[{'value': ['clone'], 'probability': 0.13411936163902283}, {'value': ['create'], 'probability': 0.08058378100395203}, {'value': ['get'], 'probability': 0.05372466892004013}, {'value': ['transform'], 'probability': 0.05237878859043121}, {'value': ['resolve'], 'probability': 0.038281142711639404}]","[0.166604, 0.62328804, 1.0, 0.33052462, 0.427468]",0.1599728401934492,"[{'value': ['clone'], 'probability': 0.24985620379447937}, {'value': ['get', 'parent'], 'probability': 0.10705603659152985}, {'value': ['get', 'dto'], 'probability': 0.09282155334949493}, {'value': ['get', 'data'], 'probability': 0.09101137518882751}, {'value': ['get', 'previous'], 'probability': 0.08914676308631897}, {'value': ['get', 'shutdown'], 'probability': 0.08140432834625244}, {'value': ['get', 'next'], 'probability': 0.07586400955915451}, {'value': ['get', 'inf'], 'probability': 0.07277494668960571}, {'value': ['get', 'unit'], 'probability': 0.07116889208555222}, {'value': ['get', 'target'], 'probability': 0.06889588385820389}]","[0.166604, 0.85029024, 0.88755053, 0.82370985, 0.86536276, 0.80612296, 0.926832, 0.6782611, 0.815615, 0.8772629]",0.6709325440641549
489,489,"public int getNumVertices() {return CollisionJNI.btPolyhedralConvexShape_getNumVertices(swigCPtr, this);}
","public int [MASK]() {return CollisionJNI.btPolyhedralConvexShape_[MASK](swigCPtr, this);}
",getNumVertices,"[{'value': ['get'], 'probability': 0.0715850368142128}, {'value': ['size'], 'probability': 0.03663063794374466}, {'value': ['state'], 'probability': 0.033406153321266174}, {'value': ['length'], 'probability': 0.030105145648121834}, {'value': ['start'], 'probability': 0.02436893992125988}]","[1.0, 0.43109724, 0.49234587, 0.3304365, 0.7199945]",0.1313171265642884,"[{'value': ['get', 'id'], 'probability': 0.3313220143318176}, {'value': ['size'], 'probability': 0.1665688157081604}, {'value': ['get', 'flags'], 'probability': 0.15398664772510529}, {'value': ['stop', 'capture'], 'probability': 0.08354075998067856}, {'value': ['get', 'length'], 'probability': 0.055937256664037704}, {'value': ['hash', 'code'], 'probability': 0.05303184688091278}, {'value': ['capacity'], 'probability': 0.04606638848781586}, {'value': ['get', 'server', 'port'], 'probability': 0.04076070711016655}, {'value': ['get', 'x'], 'probability': 0.04039689898490906}, {'value': ['get', 'gid'], 'probability': 0.02838866226375103}]","[0.82231325, 0.43109724, 0.75727946, 0.64470273, 0.8075286, 0.33598104, 0.39120343, 0.6926611, 0.7925645, 0.80916685]",0.6789593480888673
490,490,"public int getNumEdges() {return CollisionJNI.btPolyhedralConvexShape_getNumEdges(swigCPtr, this);}
","public int [MASK]() {return CollisionJNI.btPolyhedralConvexShape_[MASK](swigCPtr, this);}
",getNumEdges,"[{'value': ['get'], 'probability': 0.0715850368142128}, {'value': ['size'], 'probability': 0.03663063794374466}, {'value': ['state'], 'probability': 0.033406153321266174}, {'value': ['length'], 'probability': 0.030105145648121834}, {'value': ['start'], 'probability': 0.02436893992125988}]","[1.0, 0.43109724, 0.49234587, 0.3304365, 0.7199945]",0.1313171265642884,"[{'value': ['get', 'id'], 'probability': 0.3313220143318176}, {'value': ['size'], 'probability': 0.1665688157081604}, {'value': ['get', 'flags'], 'probability': 0.15398664772510529}, {'value': ['stop', 'capture'], 'probability': 0.08354075998067856}, {'value': ['get', 'length'], 'probability': 0.055937256664037704}, {'value': ['hash', 'code'], 'probability': 0.05303184688091278}, {'value': ['capacity'], 'probability': 0.04606638848781586}, {'value': ['get', 'server', 'port'], 'probability': 0.04076070711016655}, {'value': ['get', 'x'], 'probability': 0.04039689898490906}, {'value': ['get', 'gid'], 'probability': 0.02838866226375103}]","[0.82231325, 0.43109724, 0.75727946, 0.64470273, 0.8075286, 0.33598104, 0.39120343, 0.6926611, 0.7925645, 0.80916685]",0.6789593480888673
491,491,"public void getEdge(int i, Vector3 pa, Vector3 pb) {CollisionJNI.btPolyhedralConvexShape_getEdge(swigCPtr, this, i, pa, pb);}
","public void [MASK](int i, Vector3 pa, Vector3 pb) {CollisionJNI.btPolyhedralConvexShape_[MASK](swigCPtr, this, i, pa, pb);}
",getEdge,"[{'value': ['run'], 'probability': 0.0928988978266716}, {'value': ['read'], 'probability': 0.08280379325151443}, {'value': ['execute'], 'probability': 0.07627995312213898}, {'value': ['write'], 'probability': 0.06948263943195343}, {'value': ['scan'], 'probability': 0.052540164440870285}]","[0.65114945, 0.5726487, 0.37713256, 0.60768855, 0.28727266]",0.1939933626830329,"[{'value': ['set'], 'probability': 0.23005513846874237}, {'value': ['assign'], 'probability': 0.17625302076339722}, {'value': ['intersects', 'line'], 'probability': 0.14018064737319946}, {'value': ['cross'], 'probability': 0.13764536380767822}, {'value': ['add'], 'probability': 0.12222809344530106}, {'value': ['determinant'], 'probability': 0.060588136315345764}, {'value': ['equals'], 'probability': 0.03728453814983368}, {'value': ['add', 'data'], 'probability': 0.03495827317237854}, {'value': ['assert', 'equals'], 'probability': 0.03047044947743416}, {'value': ['set', 'linear', 'velocity'], 'probability': 0.030336378142237663}]","[0.65028083, 0.3074088, 0.36418915, 0.4741721, 0.54842544, -0.053460952, 0.22535908, 0.5831131, 0.35015377, 0.42752597]",0.43632190301002105
492,492,"public void getVertex(int i, Vector3 vtx) {CollisionJNI.btPolyhedralConvexShape_getVertex(swigCPtr, this, i, vtx);}
","public void [MASK](int i, Vector3 vtx) {CollisionJNI.btPolyhedralConvexShape_[MASK](swigCPtr, this, i, vtx);}
",getVertex,"[{'value': ['execute'], 'probability': 0.12589901685714722}, {'value': ['run'], 'probability': 0.11722540110349655}, {'value': ['write'], 'probability': 0.07564397901296616}, {'value': ['read'], 'probability': 0.06640659272670746}, {'value': ['scan'], 'probability': 0.037589170038700104}]","[0.37713256, 0.65114945, 0.60768855, 0.5726487, 0.28727266]",0.2186058446244019,"[{'value': ['delete'], 'probability': 0.3175757825374603}, {'value': ['add', 'all'], 'probability': 0.30825209617614746}, {'value': ['get', 'vertex'], 'probability': 0.10748527944087982}, {'value': ['set', 'left'], 'probability': 0.1016705259680748}, {'value': ['add'], 'probability': 0.07764781266450882}, {'value': ['add', 'activity'], 'probability': 0.03184770047664642}, {'value': ['split'], 'probability': 0.0175442136824131}, {'value': ['set', 'bottom'], 'probability': 0.01610032096505165}, {'value': ['do', 'rename'], 'probability': 0.01209088321775198}, {'value': ['move'], 'probability': 0.009785315953195095}]","[0.277343, 0.7497388, 0.6914651, 0.7069004, 0.54842544, 0.5727481, 0.4370585, 0.67876035, 0.7270366, 0.7194599]",0.560630741947825
493,493,"public int getNumPlanes() {return CollisionJNI.btPolyhedralConvexShape_getNumPlanes(swigCPtr, this);}
","public int [MASK]() {return CollisionJNI.btPolyhedralConvexShape_[MASK](swigCPtr, this);}
",getNumPlanes,"[{'value': ['get'], 'probability': 0.0715850368142128}, {'value': ['size'], 'probability': 0.03663063794374466}, {'value': ['state'], 'probability': 0.033406153321266174}, {'value': ['length'], 'probability': 0.030105145648121834}, {'value': ['start'], 'probability': 0.02436893992125988}]","[1.0, 0.43109724, 0.49234587, 0.3304365, 0.7199945]",0.1313171265642884,"[{'value': ['get', 'id'], 'probability': 0.3313220143318176}, {'value': ['size'], 'probability': 0.1665688157081604}, {'value': ['get', 'flags'], 'probability': 0.15398664772510529}, {'value': ['stop', 'capture'], 'probability': 0.08354075998067856}, {'value': ['get', 'length'], 'probability': 0.055937256664037704}, {'value': ['hash', 'code'], 'probability': 0.05303184688091278}, {'value': ['capacity'], 'probability': 0.04606638848781586}, {'value': ['get', 'server', 'port'], 'probability': 0.04076070711016655}, {'value': ['get', 'x'], 'probability': 0.04039689898490906}, {'value': ['get', 'gid'], 'probability': 0.02838866226375103}]","[0.82231325, 0.43109724, 0.75727946, 0.64470273, 0.8075286, 0.33598104, 0.39120343, 0.6926611, 0.7925645, 0.80916685]",0.6789593480888673
494,494,"public void getPlane(Vector3 planeNormal, Vector3 planeSupport, int i) {CollisionJNI.btPolyhedralConvexShape_getPlane(swigCPtr, this, planeNormal, planeSupport, i);}
","public void [MASK](Vector3 planeNormal, Vector3 planeSupport, int i) {CollisionJNI.btPolyhedralConvexShape_[MASK](swigCPtr, this, planeNormal, planeSupport, i);}
",getPlane,"[{'value': ['apply'], 'probability': 0.0648251622915268}, {'value': ['execute'], 'probability': 0.057010844349861145}, {'value': ['test'], 'probability': 0.049002695828676224}, {'value': ['write'], 'probability': 0.04498846083879471}, {'value': ['paint'], 'probability': 0.03968007490038872}]","[0.57501197, 0.37713256, 0.4599198, 0.60768855, 0.41529104]",0.1251309526842373,"[{'value': ['get', 'plane'], 'probability': 0.9573626518249512}, {'value': ['offset'], 'probability': 0.022597355768084526}, {'value': ['unfold'], 'probability': 0.00822868850082159}, {'value': ['set', 'position'], 'probability': 0.006595323793590069}, {'value': ['get', 'intersection'], 'probability': 0.0027738516218960285}, {'value': ['quick', 'reject'], 'probability': 0.0008924540597945452}, {'value': ['project', 'to', 'plane'], 'probability': 0.0008217384456656873}, {'value': ['get', 'plane', 'equation'], 'probability': 0.0002457530063111335}, {'value': ['left'], 'probability': 0.0002452762855682522}, {'value': ['jump'], 'probability': 0.00023691673413850367}]","[0.8206952, 0.30574188, 0.2054267, 0.6746676, 0.7591154, 0.6365428, 0.68374145, 0.7191548, 0.6125856, 0.526757]",0.8024393346954053
495,495,"public boolean isInside(Vector3 pt, float tolerance) {return CollisionJNI.btPolyhedralConvexShape_isInside(swigCPtr, this, pt, tolerance);}protected void reset(long cPtr, boolean cMemoryOwn) {if (!destroyed)destroy();super.reset(swigCPtr = cPtr, cMemoryOwn);}
","public boolean [MASK](Vector3 pt, float tolerance) {return CollisionJNI.btPolyhedralConvexShape_[MASK](swigCPtr, this, pt, tolerance);}protected void reset(long cPtr, boolean cMemoryOwn) {if (!destroyed)destroy();super.reset(swigCPtr = cPtr, cMemoryOwn);}
",isInside,"[{'value': ['destroy'], 'probability': 0.31601089239120483}, {'value': ['destroyed'], 'probability': 0.061954088509082794}, {'value': ['equals'], 'probability': 0.055008336901664734}, {'value': ['matches'], 'probability': 0.027792613953351974}, {'value': ['create'], 'probability': 0.024072740226984024}]","[0.2876265, 0.29613453, 0.3373858, 0.3614936, 0.57730776]",0.1517431168844043,"[{'value': ['equals', 'exact'], 'probability': 0.6381721496582031}, {'value': ['equals'], 'probability': 0.1767565906047821}, {'value': ['is', 'flat'], 'probability': 0.060641467571258545}, {'value': ['same'], 'probability': 0.032306820154190063}, {'value': ['contains', 'point'], 'probability': 0.03159583359956741}, {'value': ['linearize'], 'probability': 0.014538955874741077}, {'value': ['intersects', 'line'], 'probability': 0.014457875862717628}, {'value': ['eq'], 'probability': 0.01179772149771452}, {'value': ['tolerance'], 'probability': 0.010818848386406898}, {'value': ['contains'], 'probability': 0.008913799189031124}]","[0.47101185, 0.3373858, 0.8767205, 0.7568843, 0.7495134, 0.0, 0.4886705, -0.060977653, 0.33568254, 0.59498084]",0.47680243024433655
496,496,"public static long getCPtr(btQuantizedBvhDoubleData obj) {return (obj == null) ? 0 : obj.swigCPtr;}
","public static long [MASK](btQuantizedBvhDoubleData obj) {return (obj == null) ? 0 : obj.swigCPtr;}
",getCPtr,"[{'value': ['get'], 'probability': 0.09021826088428497}, {'value': ['execute'], 'probability': 0.06523747742176056}, {'value': ['read'], 'probability': 0.05047183856368065}, {'value': ['run'], 'probability': 0.03292277827858925}, {'value': ['process'], 'probability': 0.03164670243859291}]","[1.0, 0.37713256, 0.5726487, 0.65114945, 0.52250975]",0.1816974307312986,"[{'value': ['get', 'c', 'ptr'], 'probability': 1.0}, {'value': ['size'], 'probability': 1.054314235915399e-08}, {'value': ['get', 'flags'], 'probability': 8.130188966504193e-09}, {'value': ['get', 'type'], 'probability': 4.1625649593868275e-09}, {'value': ['get', 'id'], 'probability': 2.1514112713560962e-09}, {'value': ['get', 'base'], 'probability': 1.9387691452266154e-09}, {'value': ['get', 'first'], 'probability': 1.7844875577210928e-09}, {'value': ['height'], 'probability': 6.839201427411012e-10}, {'value': ['get', 'count'], 'probability': 3.1865962646371315e-10}, {'value': ['get', 'top'], 'probability': 3.1842023462402835e-10}]","[0.67619735, 0.43109724, 0.75727946, 0.8542828, 0.82231325, 0.8330182, 0.8991456, 0.30686238, 0.85928994, 0.8810721]",0.676197370010872
497,497,"protected void finalize() {if (!destroyed)destroy();super.finalize();}
","protected void [MASK]() {if (!destroyed)destroy();super.[MASK]();}
",finalize,"[{'value': ['destroy'], 'probability': 0.9733927249908447}, {'value': ['destroyed'], 'probability': 0.009544972330331802}, {'value': ['rebuild'], 'probability': 0.006175817456096411}, {'value': ['run'], 'probability': 0.0022894893772900105}, {'value': ['build'], 'probability': 0.0005107757169753313}]","[0.1432974, -0.044560697, 0.28834844, 0.09746272, 0.31560788]",0.1412244520043508,"[{'value': ['finalize'], 'probability': 0.9999464750289917}, {'value': ['dispose'], 'probability': 4.112516398890875e-05}, {'value': ['free', 'mem'], 'probability': 7.3835099101415835e-06}, {'value': ['on', 'destroy'], 'probability': 2.8894064598716795e-06}, {'value': ['is', 'handled'], 'probability': 8.069619070738554e-07}, {'value': ['remove', 'notify'], 'probability': 6.561280088135391e-07}, {'value': ['do', 'finalize'], 'probability': 1.9771378845234722e-07}, {'value': ['test', 'finalize'], 'probability': 1.6581098805090733e-07}, {'value': ['release'], 'probability': 1.544726728752721e-07}, {'value': ['tear', 'down'], 'probability': 8.362584225096725e-08}]","[1.0, 0.33868343, 0.14763913, 0.25811264, 0.09339231, 0.37095228, 0.704253, 0.67354965, 0.29516438, 0.11604035]",0.9999628643053813
498,498,"protected synchronized void delete() {if (swigCPtr != 0) {if (swigCMemOwn) {swigCMemOwn = false;CollisionJNI.delete_btQuantizedBvhDoubleData(swigCPtr);}swigCPtr = 0;}super.delete();}
","protected synchronized void [MASK]() {if (swigCPtr != 0) {if (swigCMemOwn) {swigCMemOwn = false;CollisionJNI.[MASK]_btQuantizedBvhDoubleData(swigCPtr);}swigCPtr = 0;}super.[MASK]();}
",delete,"[{'value': ['run'], 'probability': 0.812507152557373}, {'value': ['start'], 'probability': 0.014252492226660252}, {'value': ['test'], 'probability': 0.013292895630002022}, {'value': ['clear'], 'probability': 0.01246337965130806}, {'value': ['execute'], 'probability': 0.011618731543421745}]","[0.13931048, 0.15163165, 0.14537679, 0.18840031, 0.33713183]",0.1235495169939531,"[{'value': ['delete'], 'probability': 1.0}, {'value': ['do', 'delete'], 'probability': 2.7106727973347233e-10}, {'value': ['delete', 'file'], 'probability': 9.954600338479835e-11}, {'value': ['remove'], 'probability': 7.5760224482746e-11}, {'value': ['move'], 'probability': 5.980566042396163e-11}, {'value': ['test', 'delete'], 'probability': 5.413420059441343e-11}, {'value': ['delete', 'by', 'id'], 'probability': 2.8741738156146113e-11}, {'value': ['abort'], 'probability': 1.7666821131023802e-11}, {'value': ['delete', 'row'], 'probability': 9.944252886417981e-12}, {'value': ['clear'], 'probability': 5.664530042942539e-12}]","[1.0, 0.7730317, 0.8637192, 0.5385779, 0.24743508, 0.7130186, 0.68815297, 0.26680696, 0.76140904, 0.18840031]",1.0000000004228538
499,499,"public void setBvhAabbMin(btVector3DoubleData value) {CollisionJNI.btQuantizedBvhDoubleData_bvhAabbMin_set(swigCPtr, this, btVector3DoubleData.getCPtr(value), value);}
","public void [MASK](btVector3DoubleData value) {CollisionJNI.btQuantizedBvhDoubleData_bvhAabbMin_set(swigCPtr, this, btVector3DoubleData.getCPtr(value), value);}
",setBvhAabbMin,"[{'value': ['set'], 'probability': 0.5947325229644775}, {'value': ['put'], 'probability': 0.048939067870378494}, {'value': ['execute'], 'probability': 0.021500924602150917}, {'value': ['get'], 'probability': 0.02021707594394684}, {'value': ['apply'], 'probability': 0.019765593111515045}]","[1.0, 0.7944568, 0.35167885, 0.65028083, 0.5010617]",0.6642244758800031,"[{'value': ['swap'], 'probability': 0.6816266179084778}, {'value': ['set'], 'probability': 0.05301619693636894}, {'value': ['set', 'bits'], 'probability': 0.046081967651844025}, {'value': ['assign'], 'probability': 0.041276972740888596}, {'value': ['set', 'to'], 'probability': 0.03635069727897644}, {'value': ['ne'], 'probability': 0.03558707982301712}, {'value': ['add'], 'probability': 0.03186134621500969}, {'value': ['lt'], 'probability': 0.026595523580908775}, {'value': ['set', 'top'], 'probability': 0.025171708315610886}, {'value': ['set', 'nodes'], 'probability': 0.022431842982769012}]","[0.3554226, 1.0, 0.81719714, 0.17613421, 0.9136955, 0.027621567, 0.5084879, -0.021349974, 0.8966336, 0.7400634]",0.42921056101584765
500,500,"public btVector3DoubleData getBvhAabbMin() {long cPtr = CollisionJNI.btQuantizedBvhDoubleData_bvhAabbMin_get(swigCPtr, this);return (cPtr == 0) ? null : new btVector3DoubleData(cPtr, false);}
","public btVector3DoubleData [MASK]() {long cPtr = CollisionJNI.btQuantizedBvhDoubleData_bvhAabbMin_get(swigCPtr, this);return (cPtr == 0) ? null : new btVector3DoubleData(cPtr, false);}
",getBvhAabbMin,"[{'value': ['get'], 'probability': 0.39415186643600464}, {'value': ['build'], 'probability': 0.1511240303516388}, {'value': ['create'], 'probability': 0.09791100770235062}, {'value': ['clone'], 'probability': 0.03658928722143173}, {'value': ['resolve'], 'probability': 0.021370183676481247}]","[1.0, 0.5626448, 0.62328804, 0.166604, 0.427468]",0.5554387640584669,"[{'value': ['clone'], 'probability': 0.24985620379447937}, {'value': ['get', 'parent'], 'probability': 0.10705603659152985}, {'value': ['get', 'dto'], 'probability': 0.09282155334949493}, {'value': ['get', 'data'], 'probability': 0.09101137518882751}, {'value': ['get', 'previous'], 'probability': 0.08914676308631897}, {'value': ['get', 'shutdown'], 'probability': 0.08140432834625244}, {'value': ['get', 'next'], 'probability': 0.07586400955915451}, {'value': ['get', 'inf'], 'probability': 0.07277494668960571}, {'value': ['get', 'unit'], 'probability': 0.07116889208555222}, {'value': ['get', 'target'], 'probability': 0.06889588385820389}]","[0.166604, 0.85029024, 0.88755053, 0.82370985, 0.86536276, 0.80612296, 0.926832, 0.6782611, 0.815615, 0.8772629]",0.6709325440641549
